1	2	3	4	5	6	7	8
11	22	33	44	55	66	77	88
111	222	333	444	555	666	777	888
12	23	34	45	56	67	78	89
231	452	673	894	1115	1336	1557	1778
13	24	35	46	57	68	79	90
361	692	1023	1354	1685	2016	2347	2678
14	25	36	47	58	69	80	91
501	942	1383	1824	2265	2706	3147	3588
15	26	37	48	59	70	81	92
651	1202	1753	2304	2855	3406	3957	4508
16	27	38	49	60	71	82	93
811	1472	2133	2794	3455	4116	4777	5438
17	28	39	50	61	72	83	94
981	1752	2523	3294	4065	4836	5607	6378
18	29	40	51	62	73	84	95
1161	2042	2923	3804	4685	5566	6447	7328
